id,modes_y,Max_Slope,Avg_Slope
10000,"car,bicycle,escooter,walk",29.68584169,7.278699877
10001,"car,bicycle,escooter,walk",1.95236074,1.170983178
10002,"car,bicycle,escooter,walk",5.853354312,2.264839847
10003,"car,bicycle,escooter,walk",45.23550918,5.100382707
10004,"car,bicycle,escooter,walk",9.556446716,2.234260658
10005,"car,bicycle,escooter,walk",4.119969604,0.959467196
10006,"car,bicycle,escooter,walk",47.12545531,2.555619503
10007,"car,bicycle,escooter,walk",7.024712957,2.546925339
10008,"car,bicycle,escooter,walk",12.19912813,4.463640889
10010,"car,bicycle,escooter,walk",2.097680206,0.372317981
10405,"car,bicycle,escooter,walk",6.180186437,2.459960303
10404,"car,bicycle,escooter,walk",3.08371666,1.715364862
10403,car,3.480647008,1.302707301
10402,car,5.116014687,3.101366374
10401,car,4.345961552,2.577744703
10011,car,6.61011274,2.326852135
10012,car,4.951388535,3.812877587
10013,car,2.526398246,1.230750423
10014,car,4.087974434,2.179600484
10015,"car,bicycle,escooter,walk",8.904342137,5.469910271
10016,car,4.616494266,3.753559249
10017,car,3.557504942,2.956263626
10018,car,7.083606103,4.137860711
10019,car,2.433759022,1.362519821
10020,"bicycle,escooter,walk",2.433759022,1.362519821
10021,car,3.701350721,1.993407945
10022,car,1.970747516,0.638509695
10023,car,2.800183112,1.988655443
10024,car,5.327956895,3.087481596
10025,car,3.706881802,1.913373097
10026,car,3.545852056,2.916061529
10027,car,6.490103971,4.627870565
10028,"bicycle,escooter,walk",3.701350721,1.993407945
10029,"bicycle,escooter,walk",1.970747516,0.638509695
10030,"bicycle,escooter,walk",2.800183112,1.988655443
10031,"bicycle,escooter,walk",5.327956895,3.087481596
10032,"bicycle,escooter,walk",3.988813563,1.131913003
10033,"bicycle,escooter,walk",3.514943323,2.558423143
10034,"bicycle,escooter,walk",3.545852056,2.916061529
10035,"bicycle,escooter,walk",6.490103971,4.627870565
10036,"bicycle,escooter,walk",6.605238663,3.874153033
10037,"bicycle,escooter,walk",3.073115739,2.485402914
10038,"bicycle,escooter,walk",0.967348914,0.357389316
10039,car,4.666675969,1.617569911
