Iteration	car	ebike	escoot
0	10437	10	10
1	6142	2411	2598
2	4034	3805	3940
3	3554	4128	4044
4	3067	4496	4071
5	2997	4451	4112
6	3093	4074	4308
7	3058	4148	4267
8	3293	4291	3880
9	3197	4377	3938
10	3424	4503	3663
11	3729	4326	3380
12	3955	4211	3258
13	3764	4314	3414
14	3703	4524	3221
15	3807	4424	3209
16	3886	4712	2818
17	3859	4463	3094
18	4121	4384	2936
19	4138	4469	2751
20	4086	4479	2837
21	4147	4317	2924
22	4391	4409	2539
23	4382	4444	2599
24	4426	4143	2792
25	4391	4493	2524
26	4330	4365	2682
27	4687	4255	2520
28	4853	4094	2410
29	5009	3804	2578
30	4652	4047	2743
31	5149	4114	2074
32	5201	3866	2303
33	4940	3794	2625
34	4948	3929	2534
35	4957	3918	2542
36	5227	3784	2297
37	4879	3801	2760
38	5036	3727	2640
39	5306	3707	2253
40	5001	3577	2933
41	5018	3593	2725
42	5210	3489	2758
43	5663	3130	2421
44	5584	3248	2578
45	5619	3348	2269
46	5558	3324	2494
47	5976	3051	2151
48	5759	3179	2409
49	5837	3072	2280
50	5741	3109	2570
51	5715	3022	2478
52	5715	3054	2622
53	6003	2821	2360
54	5802	3094	2525
55	5715	2982	2528
56	6185	2844	2289
57	5820	3190	2200
58	6125	2955	2264
59	5741	3075	2480
60	5942	2913	2539
61	6037	2907	2322
62	5994	2978	2399
63	5837	2854	2604
64	5854	2822	2684
65	6055	2917	2309
66	5698	2873	2858
67	5985	3009	2285
68	6055	2784	2504
69	6246	2873	2120
70	6107	2983	2232
71	5828	2904	2535
72	5889	2953	2518
73	6255	2711	2250
74	6142	2423	2724
75	6107	2597	2507
76	5715	2766	2909
77	6064	2579	2543
78	6046	2847	2366
79	6342	2733	2163
80	6194	2434	2653
81	6177	2655	2424
82	6307	2489	2421
83	6029	2774	2552
84	6307	2346	2581
85	6107	2917	2285
86	6281	2500	2458
87	6238	2582	2450
88	6229	2573	2452
89	6473	2581	2209
90	6098	2592	2578
91	6151	2474	2764
92	6064	2493	2714
93	6299	2913	2159
94	6107	2525	2587
95	6185	2932	2239
96	5994	2627	2687
97	6325	2600	2414
98	6107	2571	2634
99	6421	2600	2289
100	6168	2728	2374
