id,length,capacity,freespeed,permlanes,oneway,modes,inf,pav,obst,sl,cross,coords,from1,to1
1,10000.0,1200.0,13.88,1,1,bicycle,4: Shared space,1: good condition,0: yes obstacles,0: yes slope,2: with pedestrian crossing controlled by traffic lights,"[(-20000.0, 0.0), (-15000.0, 0.0)]",1,2
2,13000.0,1200.0,13.88,1,1,bicycle,4: Shared space,1: good condition,1: no obstacles,0: yes slope,0: without pedestrian crossings,"[(-15000.0, 0.0), (-865.0, 5925.0)]",2,3
3,12000.0,1200.0,13.88,1,1,bicycle,4: Shared space,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(-15000.0, 0.0), (-2498.0, 4331.0)]",2,4
4,11000.0,1200.0,13.88,1,1,bicycle,4: Shared space,1: good condition,0: yes obstacles,1: no slope,1: with pedestrian crossings not controlled by traffic lights,"[(-15000.0, 0.0), (-3829.0, 3215.0)]",2,5
5,10500.0,1200.0,13.88,1,1,bicycle,4: Shared space,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(-15000.0, 0.0), (-4698.0, 1711.0)]",2,6
6,10000.0,1200.0,13.88,1,1,bicycle,4: Shared space,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(-15000.0, 0.0), (-5000.0, 0.0)]",2,7
7,10500.0,1200.0,13.88,1,1,bicycle,4: Shared space,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(-15000.0, 0.0), (-4698.0, -1711.0)]",2,8
8,11000.0,1200.0,13.88,1,1,bicycle,4: Shared space,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(-15000.0, 0.0), (-3829.0, -3215.0)]",2,9
9,12000.0,1200.0,13.88,1,1,bicycle,4: Shared space,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(-15000.0, 0.0), (-2498.0, -4331.0)]",2,10
10,13000.0,1200.0,13.88,1,1,bicycle,4: Shared space,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(-15000.0, 0.0), (-865.0, -5925.0)]",2,11
11,5000.0,1200.0,13.88,1,1,bicycle,3: Urban road with cycle lane,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(-865.0, 5925.0), (0.0, 0.0)]",3,12
12,5000.0,1200.0,13.88,1,1,bicycle,3: Urban road with cycle lane,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(-2498.0, 4331.0), (0.0, 0.0)]",4,12
13,5000.0,1200.0,13.88,1,1,bicycle,3: Urban road with cycle lane,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(-3829.0, 3215.0), (0.0, 0.0)]",5,12
14,5000.0,1200.0,13.88,1,1,bicycle,3: Urban road with cycle lane,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(-4698.0, 1711.0), (0.0, 0.0)]",6,12
15,5000.0,1200.0,13.88,1,1,bicycle,3: Urban road with cycle lane,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(-5000.0, 0.0), (0.0, 0.0)]",7,12
16,5000.0,1200.0,13.88,1,1,bicycle,3: Urban road with cycle lane,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(-4698.0, -1711.0), (0.0, 0.0)]",8,12
17,5000.0,1200.0,13.88,1,1,bicycle,4: Shared space,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(-3829.0, -3215.0), (0.0, 0.0)]",9,12
18,5000.0,1200.0,13.88,1,1,bicycle,4: Shared space,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(-2498.0, -4331.0), (0.0, 0.0)]",10,12
19,5000.0,1200.0,13.88,1,1,bicycle,3: Urban road with cycle lane,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(-865.0, -5925.0), (0.0, 0.0)]",11,12
20,10000.0,1200.0,13.88,1,1,bicycle,4: Shared space,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(0.0, 0.0), (5000.0, 0.0)]",12,13
21,10000.0,1200.0,13.88,1,1,bicycle,1: Urban road with sidewalk less than 1.5 m wide,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(5000.0, 0.0), (5000.0, -10000.0)]",13,14
22,35000.0,1200.0,13.88,1,1,bicycle,1: Urban road with sidewalk less than 1.5 m wide,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(5000.0, -10000.0), (-20000.0, -10000.0)]",14,15
23,10000.0,1200.0,13.88,1,1,bicycle,1: Urban road with sidewalk less than 1.5 m wide,1: good condition,0: yes obstacles,0: yes slope,0: without pedestrian crossings,"[(-20000.0, -10000.0), (-20000.0, 0.0)]",15,1
