,Value,Rob. Std err,Rob. t-test,Rob. p-value
ASC_EBIKE,-1.2930476307576513,0.4277908343191771,-3.0226164915747153,0.0025059960928601743
ASC_ESCOOT,-1.7358211834149238,0.4421477854717641,-3.9258846034088632,8.641157771216434e-05
ASC_WALK,-0.29898553134444183,0.43680749466242264,-0.6844789409474451,0.49367278288725114
BETA_CARCOST,-0.2819983840905921,0.05418581068625827,-5.204284673775453,1.9474528323293328e-07
BETA_CARPSAFE,0.3470980617404358,0.05085057275635233,6.825843700985173,8.741007917478782e-12
BETA_CARTIME,-0.038200571353278985,0.004583713121060341,-8.333979536756463,0.0
BETA_EBIKECOST,-0.43891021800335994,0.0545032950387388,-8.052911621057035,8.881784197001252e-16
BETA_EBIKEPSAFE,0.697398888010464,0.04456877306782281,15.647702191603814,0.0
BETA_EBIKETIME,-0.04927498973508606,0.009977113127788309,-4.938802347328817,7.860383310909214e-07
BETA_ESCOOTCOST,-0.5446009027822405,0.0703759457393144,-7.73845235131253,9.992007221626409e-15
BETA_ESCOOTIME,-0.05164459486688658,0.00926118006371282,-5.576459426508784,2.454631320425449e-08
BETA_ESCOOTPSAFE,0.657945310834518,0.05167876609686401,12.731443889378072,0.0
BETA_WALKPSAFE,0.3318549967128828,0.049181554060395156,6.747550032790007,1.5036194511708345e-11
BETA_WALKTIME,-0.04370285179765552,0.0030399314722644945,-14.376262161298179,0.0
