,pid,scenario,choice,cartime,carcost,acttime,ebikecost,escootcost,gender,age,education,employment,income,car_own,moto_own,cycle_own,escoot_own,bike_frequency,escooter_frequency,PT_frequency,metro_frequency,young,intchoice,binchoice1,binchoice2,binchoice3,binchoice4
0,100,scenario34,walk,40,5.0,5,4.5,0.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,1,0,0,0,1
1,100,scenario31,car,40,6.5,25,3.0,3.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,4,1,0,0,0
2,100,scenario13,car,20,5.0,25,4.5,3.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,4,1,0,0,0
3,100,scenario28,car,5,3.5,25,3.0,2.0,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,4,1,0,0,0
4,100,scenario22,walk,20,3.5,5,4.5,2.0,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,1,0,0,0,1
5,100,scenario01,car,40,3.5,25,1.5,0.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,4,1,0,0,0
6,100,scenario25,car,20,6.5,15,3.0,2.0,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,4,1,0,0,0
7,100,scenario16,car,40,3.5,15,1.5,3.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,4,1,0,0,0
8,100,scenario10,ebike,20,6.5,5,1.5,3.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,3,0,1,0,0
9,100,scenario07,car,5,5.0,15,1.5,2.0,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,4,1,0,0,0
10,100,scenario19,car,5,6.5,15,4.5,0.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,4,1,0,0,0
11,100,scenario04,car,5,5.0,5,3.0,0.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,4,1,0,0,0
12,101,scenario34,escoot,40,5.0,5,4.5,0.5,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,2,0,0,1,0
13,101,scenario31,car,40,6.5,25,3.0,3.5,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,4,1,0,0,0
14,101,scenario13,car,20,5.0,25,4.5,3.5,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,4,1,0,0,0
15,101,scenario28,car,5,3.5,25,3.0,2.0,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,4,1,0,0,0
16,101,scenario22,escoot,20,3.5,5,4.5,2.0,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,2,0,0,1,0
17,101,scenario01,ebike,40,3.5,25,1.5,0.5,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,3,0,1,0,0
18,101,scenario25,car,20,6.5,15,3.0,2.0,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,4,1,0,0,0
19,101,scenario16,ebike,40,3.5,15,1.5,3.5,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,3,0,1,0,0
20,101,scenario10,ebike,20,6.5,5,1.5,3.5,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,3,0,1,0,0
21,101,scenario07,car,5,5.0,15,1.5,2.0,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,4,1,0,0,0
22,101,scenario19,escoot,5,6.5,15,4.5,0.5,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,2,0,0,1,0
23,101,scenario04,ebike,5,5.0,5,3.0,0.5,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,3,0,1,0,0
24,102,scenario34,walk,40,5.0,5,4.5,0.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,1,0,0,0,1
25,102,scenario31,ebike,40,6.5,25,3.0,3.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,3,0,1,0,0
26,102,scenario13,ebike,20,5.0,25,4.5,3.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,3,0,1,0,0
27,102,scenario28,car,5,3.5,25,3.0,2.0,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,4,1,0,0,0
28,102,scenario22,walk,20,3.5,5,4.5,2.0,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,1,0,0,0,1
29,102,scenario01,car,40,3.5,25,1.5,0.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,4,1,0,0,0
30,102,scenario25,escoot,20,6.5,15,3.0,2.0,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,2,0,0,1,0
31,102,scenario16,walk,40,3.5,15,1.5,3.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,1,0,0,0,1
32,102,scenario10,walk,20,6.5,5,1.5,3.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,1,0,0,0,1
33,102,scenario07,ebike,5,5.0,15,1.5,2.0,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,3,0,1,0,0
34,102,scenario19,walk,5,6.5,15,4.5,0.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,1,0,0,0,1
35,102,scenario04,walk,5,5.0,5,3.0,0.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,1,0,0,0,1
36,103,scenario34,ebike,40,5.0,5,4.5,0.5,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,3,0,1,0,0
37,103,scenario31,car,40,6.5,25,3.0,3.5,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,4,1,0,0,0
38,103,scenario13,ebike,20,5.0,25,4.5,3.5,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,3,0,1,0,0
39,103,scenario28,car,5,3.5,25,3.0,2.0,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,4,1,0,0,0
40,103,scenario22,walk,20,3.5,5,4.5,2.0,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,1,0,0,0,1
41,103,scenario01,car,40,3.5,25,1.5,0.5,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,4,1,0,0,0
42,103,scenario25,car,20,6.5,15,3.0,2.0,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,4,1,0,0,0
43,103,scenario16,car,40,3.5,15,1.5,3.5,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,4,1,0,0,0
44,103,scenario10,ebike,20,6.5,5,1.5,3.5,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,3,0,1,0,0
45,103,scenario07,ebike,5,5.0,15,1.5,2.0,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,3,0,1,0,0
46,103,scenario19,car,5,6.5,15,4.5,0.5,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,4,1,0,0,0
47,103,scenario04,car,5,5.0,5,3.0,0.5,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,4,1,0,0,0
48,104,scenario34,car,40,5.0,5,4.5,0.5,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,4,1,0,0,0
49,104,scenario31,car,40,6.5,25,3.0,3.5,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,4,1,0,0,0
50,104,scenario13,car,20,5.0,25,4.5,3.5,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,4,1,0,0,0
51,104,scenario28,car,5,3.5,25,3.0,2.0,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,4,1,0,0,0
52,104,scenario22,walk,20,3.5,5,4.5,2.0,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,1,0,0,0,1
53,104,scenario01,escoot,40,3.5,25,1.5,0.5,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,2,0,0,1,0
54,104,scenario25,escoot,20,6.5,15,3.0,2.0,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,2,0,0,1,0
55,104,scenario16,ebike,40,3.5,15,1.5,3.5,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,3,0,1,0,0
56,104,scenario10,ebike,20,6.5,5,1.5,3.5,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,3,0,1,0,0
57,104,scenario07,ebike,5,5.0,15,1.5,2.0,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,3,0,1,0,0
58,104,scenario19,escoot,5,6.5,15,4.5,0.5,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,2,0,0,1,0
59,104,scenario04,escoot,5,5.0,5,3.0,0.5,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,2,0,0,1,0
60,105,scenario34,walk,40,5.0,5,4.5,0.5,1.0,4.0,3.0,3.0,2.0,1,0,1,0,1.0,0.0,1.0,1.0,0,1,0,0,0,1
61,105,scenario31,ebike,40,6.5,25,3.0,3.5,1.0,4.0,3.0,3.0,2.0,1,0,1,0,1.0,0.0,1.0,1.0,0,3,0,1,0,0
62,105,scenario13,car,20,5.0,25,4.5,3.5,1.0,4.0,3.0,3.0,2.0,1,0,1,0,1.0,0.0,1.0,1.0,0,4,1,0,0,0
63,105,scenario28,car,5,3.5,25,3.0,2.0,1.0,4.0,3.0,3.0,2.0,1,0,1,0,1.0,0.0,1.0,1.0,0,4,1,0,0,0
64,105,scenario22,escoot,20,3.5,5,4.5,2.0,1.0,4.0,3.0,3.0,2.0,1,0,1,0,1.0,0.0,1.0,1.0,0,2,0,0,1,0
65,105,scenario01,ebike,40,3.5,25,1.5,0.5,1.0,4.0,3.0,3.0,2.0,1,0,1,0,1.0,0.0,1.0,1.0,0,3,0,1,0,0
66,105,scenario25,ebike,20,6.5,15,3.0,2.0,1.0,4.0,3.0,3.0,2.0,1,0,1,0,1.0,0.0,1.0,1.0,0,3,0,1,0,0
67,105,scenario16,ebike,40,3.5,15,1.5,3.5,1.0,4.0,3.0,3.0,2.0,1,0,1,0,1.0,0.0,1.0,1.0,0,3,0,1,0,0
68,105,scenario10,ebike,20,6.5,5,1.5,3.5,1.0,4.0,3.0,3.0,2.0,1,0,1,0,1.0,0.0,1.0,1.0,0,3,0,1,0,0
69,105,scenario07,car,5,5.0,15,1.5,2.0,1.0,4.0,3.0,3.0,2.0,1,0,1,0,1.0,0.0,1.0,1.0,0,4,1,0,0,0
70,105,scenario19,car,5,6.5,15,4.5,0.5,1.0,4.0,3.0,3.0,2.0,1,0,1,0,1.0,0.0,1.0,1.0,0,4,1,0,0,0
71,105,scenario04,car,5,5.0,5,3.0,0.5,1.0,4.0,3.0,3.0,2.0,1,0,1,0,1.0,0.0,1.0,1.0,0,4,1,0,0,0
72,106,scenario34,escoot,40,5.0,5,4.5,0.5,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,,1.0,1.0,1,2,0,0,1,0
73,106,scenario31,ebike,40,6.5,25,3.0,3.5,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,,1.0,1.0,1,3,0,1,0,0
74,106,scenario13,car,20,5.0,25,4.5,3.5,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,,1.0,1.0,1,4,1,0,0,0
75,106,scenario28,car,5,3.5,25,3.0,2.0,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,,1.0,1.0,1,4,1,0,0,0
76,106,scenario22,escoot,20,3.5,5,4.5,2.0,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,,1.0,1.0,1,2,0,0,1,0
77,106,scenario01,ebike,40,3.5,25,1.5,0.5,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,,1.0,1.0,1,3,0,1,0,0
78,106,scenario25,ebike,20,6.5,15,3.0,2.0,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,,1.0,1.0,1,3,0,1,0,0
79,106,scenario16,ebike,40,3.5,15,1.5,3.5,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,,1.0,1.0,1,3,0,1,0,0
80,106,scenario10,ebike,20,6.5,5,1.5,3.5,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,,1.0,1.0,1,3,0,1,0,0
81,106,scenario07,ebike,5,5.0,15,1.5,2.0,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,,1.0,1.0,1,3,0,1,0,0
82,106,scenario19,escoot,5,6.5,15,4.5,0.5,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,,1.0,1.0,1,2,0,0,1,0
83,106,scenario04,escoot,5,5.0,5,3.0,0.5,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,,1.0,1.0,1,2,0,0,1,0
84,107,scenario34,walk,40,5.0,5,4.5,0.5,0.0,4.0,3.0,0.0,0.0,1,1,1,0,0.0,0.0,1.0,2.0,0,1,0,0,0,1
85,107,scenario31,ebike,40,6.5,25,3.0,3.5,0.0,4.0,3.0,0.0,0.0,1,1,1,0,0.0,0.0,1.0,2.0,0,3,0,1,0,0
86,107,scenario13,ebike,20,5.0,25,4.5,3.5,0.0,4.0,3.0,0.0,0.0,1,1,1,0,0.0,0.0,1.0,2.0,0,3,0,1,0,0
87,107,scenario28,car,5,3.5,25,3.0,2.0,0.0,4.0,3.0,0.0,0.0,1,1,1,0,0.0,0.0,1.0,2.0,0,4,1,0,0,0
88,107,scenario22,ebike,20,3.5,5,4.5,2.0,0.0,4.0,3.0,0.0,0.0,1,1,1,0,0.0,0.0,1.0,2.0,0,3,0,1,0,0
89,107,scenario01,ebike,40,3.5,25,1.5,0.5,0.0,4.0,3.0,0.0,0.0,1,1,1,0,0.0,0.0,1.0,2.0,0,3,0,1,0,0
90,107,scenario25,car,20,6.5,15,3.0,2.0,0.0,4.0,3.0,0.0,0.0,1,1,1,0,0.0,0.0,1.0,2.0,0,4,1,0,0,0
91,107,scenario16,ebike,40,3.5,15,1.5,3.5,0.0,4.0,3.0,0.0,0.0,1,1,1,0,0.0,0.0,1.0,2.0,0,3,0,1,0,0
92,107,scenario10,ebike,20,6.5,5,1.5,3.5,0.0,4.0,3.0,0.0,0.0,1,1,1,0,0.0,0.0,1.0,2.0,0,3,0,1,0,0
93,107,scenario07,ebike,5,5.0,15,1.5,2.0,0.0,4.0,3.0,0.0,0.0,1,1,1,0,0.0,0.0,1.0,2.0,0,3,0,1,0,0
94,107,scenario19,car,5,6.5,15,4.5,0.5,0.0,4.0,3.0,0.0,0.0,1,1,1,0,0.0,0.0,1.0,2.0,0,4,1,0,0,0
95,107,scenario04,car,5,5.0,5,3.0,0.5,0.0,4.0,3.0,0.0,0.0,1,1,1,0,0.0,0.0,1.0,2.0,0,4,1,0,0,0
96,108,scenario34,walk,40,5.0,5,4.5,0.5,1.0,1.0,3.0,3.0,,1,0,0,0,1.0,,,0.0,1,1,0,0,0,1
97,108,scenario31,car,40,6.5,25,3.0,3.5,1.0,1.0,3.0,3.0,,1,0,0,0,1.0,,,0.0,1,4,1,0,0,0
98,108,scenario13,walk,20,5.0,25,4.5,3.5,1.0,1.0,3.0,3.0,,1,0,0,0,1.0,,,0.0,1,1,0,0,0,1
99,108,scenario28,ebike,5,3.5,25,3.0,2.0,1.0,1.0,3.0,3.0,,1,0,0,0,1.0,,,0.0,1,3,0,1,0,0
101,108,scenario25,ebike,20,6.5,15,3.0,2.0,1.0,1.0,3.0,3.0,,1,0,0,0,1.0,,,0.0,1,3,0,1,0,0
102,108,scenario16,escoot,40,3.5,15,1.5,3.5,1.0,1.0,3.0,3.0,,1,0,0,0,1.0,,,0.0,1,2,0,0,1,0
103,108,scenario10,car,20,6.5,5,1.5,3.5,1.0,1.0,3.0,3.0,,1,0,0,0,1.0,,,0.0,1,4,1,0,0,0
104,108,scenario07,ebike,5,5.0,15,1.5,2.0,1.0,1.0,3.0,3.0,,1,0,0,0,1.0,,,0.0,1,3,0,1,0,0
105,108,scenario19,escoot,5,6.5,15,4.5,0.5,1.0,1.0,3.0,3.0,,1,0,0,0,1.0,,,0.0,1,2,0,0,1,0
106,108,scenario04,walk,5,5.0,5,3.0,0.5,1.0,1.0,3.0,3.0,,1,0,0,0,1.0,,,0.0,1,1,0,0,0,1
107,109,scenario34,walk,40,5.0,5,4.5,0.5,1.0,1.0,3.0,1.0,0.0,1,0,0,0,0.0,0.0,1.0,4.0,1,1,0,0,0,1
108,109,scenario31,car,40,6.5,25,3.0,3.5,1.0,1.0,3.0,1.0,0.0,1,0,0,0,0.0,0.0,1.0,4.0,1,4,1,0,0,0
109,109,scenario13,car,20,5.0,25,4.5,3.5,1.0,1.0,3.0,1.0,0.0,1,0,0,0,0.0,0.0,1.0,4.0,1,4,1,0,0,0
110,109,scenario28,car,5,3.5,25,3.0,2.0,1.0,1.0,3.0,1.0,0.0,1,0,0,0,0.0,0.0,1.0,4.0,1,4,1,0,0,0
111,109,scenario22,walk,20,3.5,5,4.5,2.0,1.0,1.0,3.0,1.0,0.0,1,0,0,0,0.0,0.0,1.0,4.0,1,1,0,0,0,1
112,109,scenario01,walk,40,3.5,25,1.5,0.5,1.0,1.0,3.0,1.0,0.0,1,0,0,0,0.0,0.0,1.0,4.0,1,1,0,0,0,1
