,osm_id,highway,permlanes,lit,maxspeed,name,oneway,length,freespeed,modes,pav,obst,cross,x_start,y_start,x_end,y_end,capacity,id,inf,geometry,from1,to1
0,5203794,residential,1,,,Αίνου,0,72.197,15.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,476874.2684,4200840.01,476874.2684,4200825.64,1200.0,1,1: Urban road with sidewalk less than 1.5 m wide,"LINESTRING (476944.9923459715 4200840.010575893, 476874.2684033266 4200825.640704412)",999.0,999.0
1,5203818,secondary,2,yes,50,Αμβροσίου Φραντζή,0,15.511,30.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,475660.1287,4201448.55,475660.1287,4201435.864,1200.0,2,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (475651.214958586 4201448.550801025, 475660.1286512943 4201435.864681202)",999.0,999.0
2,5209166,trunk,3,yes,60,Ανδρέα Συγγρού,0,42.948,60.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,2: with pedestrian crossing controlled by traffic lights,476248.4786,4202061.212,476270.5514,4202027.746,1200.0,3,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (476274.4341804436 4202061.212345913, 476270.551365346 4202051.9145589005, 476265.02981881663 4202043.9418420065, 476248.4786111041 4202027.746021393)",999.0,999.0
3,5209166,trunk,3,yes,60,Ανδρέα Συγγρού,0,40.732,60.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,2: with pedestrian crossing controlled by traffic lights,476156.3713,4201967.213,476169.1244,4201939.205,1200.0,4,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (476185.92188786395 4201967.213123876, 476169.12439357245 4201951.007080464, 476156.37133899657 4201939.205295768)",999.0,999.0
4,5209166,trunk,3,yes,60,Ανδρέα Συγγρού,0,54.814,60.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,0: without pedestrian crossings,476208.4662,4202027.746,476217.828,4201990.315,1200.0,5,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (476248.4786111041 4202027.746021393, 476217.8280412777 4201998.875710361, 476208.4662276826 4201990.314978891)",999.0,999.0
5,5209166,trunk,3,yes,60,Ανδρέα Συγγρού,0,32.292,60.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,0: without pedestrian crossings,476185.9219,4201990.315,476185.9219,4201967.213,1200.0,6,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (476208.4662276826 4201990.314978891, 476185.92188786395 4201967.213123876)",999.0,999.0
6,5209181,primary,3,yes,,Καλλιρόης,0,101.509,50.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,2: with pedestrian crossing controlled by traffic lights,476249.2889,4201906.122,476319.7909,4201842.795,1200.0,7,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (476328.08663819724 4201906.122795903, 476319.7908514388 4201901.719619176, 476305.0328493157 4201892.142436218, 476278.94208102237 4201869.8161132485, 476268.7184482986 4201860.936032717, 476261.577531631 4201854.965145483, 476255.4115409504 4201848.96926196, 476249.28894808376 4201842.795732722)",999.0,999.0
7,5209181,primary,3,yes,,Καλλιρόης,0,88.055,50.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,2: with pedestrian crossing controlled by traffic lights,476339.5258,4201923.226,476416.6724,4201910.106,1200.0,8,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (476426.4965797752 4201923.22680037, 476416.6723909033 4201921.856925014, 476389.92399596254 4201918.172274499, 476361.7624491619 4201914.857914192, 476348.5618806657 4201912.310615862, 476339.525808312 4201910.106419744)",999.0,999.0
8,5209181,primary,3,yes,,Καλλιρόης,0,12.118,50.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,0: without pedestrian crossings,476328.0866,4201910.106,476328.0866,4201906.122,1200.0,9,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (476339.525808312 4201910.106419744, 476328.08663819724 4201906.122795903)",999.0,999.0
9,5214469,primary,3,yes,,Βασιλίσσης Σοφίας,0,137.4,60.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,2: with pedestrian crossing controlled by traffic lights,477838.5579,4203019.655,477851.4984,4202931.697,1200.0,10,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477944.03641686373 4203019.655587006, 477851.4984201357 4202942.824766612, 477848.77769992745 4202940.269065641, 477838.5579481485 4202931.697689337)",999.0,999.0
