,car,ebike,escoot,walk
kappa.1,1.6012817,2.497096117,2.444949272,1.749934236
kappa.2,2.736828723,4.134785132,3.683472118,2.899351289
kappa.3,4.572424759,5.907385616,5.07957727,4.55456099
kappa.4,6.352003782,7.284684577,6.354423616,5.923272299
kappa.5,8.391919031,9.007874593,7.83059492,7.864813316
constant,5.40558897,6.996942017,4.565394025,6.168087867
gender,0.804918673,0.321647481,0.526468292,0.124199934
young,0.782905153,0.751514579,0.779598476,0.545616266
pav,1.40069913,0.856651685,0.992752006,0.24709225
cross1,-0.768704368,-0.422013574,-0.52957762,-1.604542869
cross2,0.06386193,0.129061251,0.069259687,0.068927646
obst,0.242388123,0.393669168,0.525925029,1.032990514
type1,-0.853265562,-5.56397702,-4.460076038,-2.415518543
type2,-0.778400935,-4.699554622,-3.470050653,-0.884827722
type4,-0.910795622,-3.739271373,-2.702444515,-0.422752641
mean.veh,-0.001244253,-0.004140615,-0.001540537,0.001426038
mean.bike,-0.0013013,-0.001149786,-0.001098011,0.003817389
mean.ped,-0.002651211,-0.007119133,-0.001935194,0.0036294
sd.type1,0.837865466,1.921721742,1.593159512,1.011664126
sd.type2,0.168110876,1.764005498,1.145953262,0.543900315
sd.type4,0.4726008,1.871978525,1.368948358,0.5258164
sd.veh,0.015528157,0.012587658,0.012722459,0.014159823
sd.bike,0.01032705,0.001217626,0.013380706,0.012594927
sd.ped,0.073489056,0.04026066,0.038893544,0.058317929
