,car,ebike,escoot,walk
gender,-0.643367914,0.543786025,0.4608981,-0.248416006
young,0.430772341,0.098149729,-0.4213176,-0.136455573
license_own,1.358404654,-0.321144926,1.016255,0.377232339
cross1,0.658798598,0.490139173,0.5650002,0.99101043
cross2,0.375219656,0.462294299,0.4319638,0.945054882
pav,1.347998829,0.864102238,0.9322778,0.759407541
obst,0.045227086,0.052949922,0.0288354,-0.029032692
veh,-0.00661837,-0.000383747,-0.0013654,-0.001353771
bike,-0.001819772,-0.002036069,-0.0036387,0.000211877
ped,0.013811421,0.008468682,-0.0001407,0.01239404
mean.type1,-1.964990669,-4.699356169,-4.4374135,-2.06876446
mean.type2,-1.253816205,-3.930727873,-4.0474492,-0.535551948
mean.type4,-1.412023968,-3.312015813,-3.1755897,-0.597317169
sd.type1,2.807131111,1.82757571,1.3684273,2.038954026
sd.type2,2.525048028,1.783484503,1.4312579,2.190907649
sd.type4,2.379548884,1.719763598,1.4587865,1.897596086
kappa.1,1.728206011,2.384152276,2.3476255,1.683793494
kappa.2,3.432974129,4.560020783,4.2796048,2.828661287
kappa.3,5.264010734,5.944735939,5.5015547,3.9701876
kappa.4,7.041550969,7.049586779,6.9679756,5.118106381
kappa.5,8.542786583,8.444454523,8.3139485,6.675043372
constant,5.475952866,6.198563595,4.551122,4.837380708
