"","car","ebike","escoot","walk"
"kappa.1",1.22798495377259,1.4341023504932,1.47315593063218,1.29773977268023
"kappa.2",2.09881791308397,2.49099067019382,2.22373691853162,2.08616693001608
"kappa.3",3.2573960711491,3.58919117569746,3.17588793766765,3.05519268583973
"kappa.4",4.33983962689103,4.56224534709804,4.1159825232601,3.88780887699164
"kappa.5",5.51590967538629,5.89080285027948,5.24055499425206,5.10907631679994
"constant",4.01332314561254,4.46888802476332,3.39139753109308,4.39405505121722
"type1",-0.697482539345252,-3.58899663974551,-3.01567885504893,-1.62138411253982
"type2",-0.541626606600048,-3.03246677997575,-2.32733344786627,-0.524160058670472
"type4",-0.708444156485804,-2.60082861193951,-1.89710069763028,-0.452326069426015
"cross1",-0.233439010708787,-0.0565080104916107,-0.311451872344624,-0.604949537999185
"cross2",0.100120901950666,0.127615186518083,0.00406602065384175,0.237411786729479
"pav",0.977370160810837,0.614786368365994,0.690827693080747,0.304530498433178
"obst",0.0653586331819427,0.207287693409842,0.368666394997484,0.44103404676294
