pid,scenario,choice,cartime,carcost,acttime,ebikecost,escootcost,gender,age,education,employment,income,car_own,moto_own,cycle_own,escoot_own,bike_frequency,escooter_frequency,PT_frequency,metro_frequency,young,carpsafe,ebikepsafe,escootpsafe,walkpsafe,intchoice,binchoice1,binchoice2,binchoice3,binchoice4
100,scenario34,walk,40,5.0,5,4.5,0.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,5.0,2.0,1.0,4.0,1,0,0,0,1
100,scenario31,car,40,6.5,25,3.0,3.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,6.0,3.0,2.0,6.0,4,1,0,0,0
100,scenario13,car,20,5.0,25,4.5,3.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,6.0,5.0,5.0,5.0,4,1,0,0,0
100,scenario28,car,5,3.5,25,3.0,2.0,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,5.0,3.0,2.0,6.0,4,1,0,0,0
100,scenario22,walk,20,3.5,5,4.5,2.0,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,5.0,2.0,1.0,5.0,1,0,0,0,1
100,scenario01,car,40,3.5,25,1.5,0.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,6.0,3.0,2.0,5.0,4,1,0,0,0
100,scenario25,car,20,6.5,15,3.0,2.0,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,5.0,2.0,1.0,5.0,4,1,0,0,0
100,scenario16,car,40,3.5,15,1.5,3.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,5.0,2.0,1.0,5.0,4,1,0,0,0
100,scenario10,ebike,20,6.5,5,1.5,3.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,5.0,4.0,3.0,6.0,3,0,1,0,0
100,scenario07,car,5,5.0,15,1.5,2.0,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,5.0,4.0,3.0,5.0,4,1,0,0,0
100,scenario19,car,5,6.5,15,4.5,0.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,5.0,3.0,2.0,6.0,4,1,0,0,0
100,scenario04,car,5,5.0,5,3.0,0.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1,5.0,3.0,2.0,4.0,4,1,0,0,0
101,scenario34,escoot,40,5.0,5,4.5,0.5,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,7.0,4.0,4.0,2.0,2,0,0,1,0
101,scenario31,car,40,6.5,25,3.0,3.5,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,7.0,6.0,6.0,6.0,4,1,0,0,0
101,scenario13,car,20,5.0,25,4.5,3.5,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,7.0,7.0,7.0,7.0,4,1,0,0,0
101,scenario28,car,5,3.5,25,3.0,2.0,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,7.0,6.0,6.0,7.0,4,1,0,0,0
101,scenario22,escoot,20,3.5,5,4.5,2.0,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,5.0,5.0,5.0,3.0,2,0,0,1,0
101,scenario01,ebike,40,3.5,25,1.5,0.5,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,5.0,4.0,4.0,3.0,3,0,1,0,0
101,scenario25,car,20,6.5,15,3.0,2.0,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,6.0,5.0,5.0,7.0,4,1,0,0,0
101,scenario16,ebike,40,3.5,15,1.5,3.5,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,7.0,7.0,7.0,6.0,3,0,1,0,0
101,scenario10,ebike,20,6.5,5,1.5,3.5,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,7.0,7.0,7.0,5.0,3,0,1,0,0
101,scenario07,car,5,5.0,15,1.5,2.0,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,6.0,5.0,5.0,3.0,4,1,0,0,0
101,scenario19,escoot,5,6.5,15,4.5,0.5,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,6.0,5.0,5.0,3.0,2,0,0,1,0
101,scenario04,ebike,5,5.0,5,3.0,0.5,0.0,1.0,3.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1,7.0,4.0,5.0,4.0,3,0,1,0,0
102,scenario34,walk,40,5.0,5,4.5,0.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,5.0,2.0,3.0,6.0,1,0,0,0,1
102,scenario31,ebike,40,6.5,25,3.0,3.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,6.0,4.0,4.0,5.0,3,0,1,0,0
102,scenario13,ebike,20,5.0,25,4.5,3.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,3.0,6.0,5.0,6.0,3,0,1,0,0
102,scenario28,car,5,3.5,25,3.0,2.0,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,4.0,3.0,4.0,5.0,4,1,0,0,0
102,scenario22,walk,20,3.5,5,4.5,2.0,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,5.0,3.0,4.0,5.0,1,0,0,0,1
102,scenario01,car,40,3.5,25,1.5,0.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,6.0,5.0,5.0,6.0,4,1,0,0,0
102,scenario25,escoot,20,6.5,15,3.0,2.0,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,6.0,4.0,4.0,6.0,2,0,0,1,0
102,scenario16,walk,40,3.5,15,1.5,3.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,4.0,2.0,2.0,6.0,1,0,0,0,1
102,scenario10,walk,20,6.5,5,1.5,3.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,4.0,5.0,5.0,6.0,1,0,0,0,1
102,scenario07,ebike,5,5.0,15,1.5,2.0,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,4.0,5.0,5.0,3.0,3,0,1,0,0
102,scenario19,walk,5,6.5,15,4.5,0.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,5.0,2.0,2.0,6.0,1,0,0,0,1
102,scenario04,walk,5,5.0,5,3.0,0.5,0.0,1.0,3.0,1.0,0.0,1,0,1,0,,,3.0,4.0,1,6.0,4.0,4.0,6.0,1,0,0,0,1
103,scenario34,ebike,40,5.0,5,4.5,0.5,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,6.0,3.0,2.0,1.0,3,0,1,0,0
103,scenario31,car,40,6.5,25,3.0,3.5,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,6.0,4.0,3.0,5.0,4,1,0,0,0
103,scenario13,ebike,20,5.0,25,4.5,3.5,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,6.0,6.0,6.0,1.0,3,0,1,0,0
103,scenario28,car,5,3.5,25,3.0,2.0,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,5.0,3.0,2.0,6.0,4,1,0,0,0
103,scenario22,walk,20,3.5,5,4.5,2.0,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,4.0,1.0,1.0,4.0,1,0,0,0,1
103,scenario01,car,40,3.5,25,1.5,0.5,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,6.0,1.0,1.0,4.0,4,1,0,0,0
103,scenario25,car,20,6.5,15,3.0,2.0,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,5.0,1.0,1.0,7.0,4,1,0,0,0
103,scenario16,car,40,3.5,15,1.5,3.5,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,4.0,1.0,1.0,7.0,4,1,0,0,0
103,scenario10,ebike,20,6.5,5,1.5,3.5,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,6.0,6.0,5.0,7.0,3,0,1,0,0
103,scenario07,ebike,5,5.0,15,1.5,2.0,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,4.0,6.0,6.0,3.0,3,0,1,0,0
103,scenario19,car,5,6.5,15,4.5,0.5,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,5.0,1.0,1.0,6.0,4,1,0,0,0
103,scenario04,car,5,5.0,5,3.0,0.5,1.0,1.0,3.0,3.0,,1,0,1,1,1.0,0.0,3.0,3.0,1,6.0,1.0,1.0,2.0,4,1,0,0,0
104,scenario34,car,40,5.0,5,4.5,0.5,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,6.0,7.0,1.0,2.0,4,1,0,0,0
104,scenario31,car,40,6.5,25,3.0,3.5,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,6.0,1.0,1.0,4.0,4,1,0,0,0
104,scenario13,car,20,5.0,25,4.5,3.5,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,6.0,6.0,6.0,5.0,4,1,0,0,0
104,scenario28,car,5,3.5,25,3.0,2.0,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,6.0,1.0,1.0,3.0,4,1,0,0,0
104,scenario22,walk,20,3.5,5,4.5,2.0,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,7.0,1.0,1.0,2.0,1,0,0,0,1
104,scenario01,escoot,40,3.5,25,1.5,0.5,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,7.0,1.0,1.0,2.0,2,0,0,1,0
104,scenario25,escoot,20,6.5,15,3.0,2.0,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,6.0,1.0,1.0,3.0,2,0,0,1,0
104,scenario16,ebike,40,3.5,15,1.5,3.5,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,6.0,7.0,1.0,3.0,3,0,1,0,0
104,scenario10,ebike,20,6.5,5,1.5,3.5,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,5.0,5.0,5.0,3.0,3,0,1,0,0
104,scenario07,ebike,5,5.0,15,1.5,2.0,0.0,5.0,3.0,0.0,2.0,1,0,0,0,,,,,0,5.0,5.0,5.0,3.0,3,0,1,0,0
