,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value
ASC_EBIKE,-0.17422009849295103,0.427980930563158,-0.40707444199372106,0.6839533141434608,0.3935620038250432,-0.4426750976966772,0.6580007570589801
ASC_ESCOOT,-0.6876945241730379,0.4385218631443235,-1.5682103492904031,0.11683204991657514,0.4336946516730015,-1.5856652174985733,0.11281527338037178
ASC_WALK,-0.6805297974144252,0.4010114272142105,-1.6970334290521423,0.08969034064614245,0.3587151989538983,-1.897131204362172,0.057810623739682265
BETA_CARCOST,-0.42400244313285135,0.06535453754724685,-6.487727693372884,8.714051702440884e-11,0.07454653138969679,-5.68775548947209,1.2871994137242382e-08
BETA_CARPSAFE,0.4496025888789023,0.08444762863436542,5.324040427772763,1.0148733564641077e-07,0.14307156333769194,3.142501405521829,0.0016751090893685205
BETA_CARTIME,-0.05227968529532268,0.005651914634520002,-9.249907098032917,0.0,0.009091431859472572,-5.750434706371503,8.90142759502055e-09
BETA_EBIKECOST,-0.4664665062848755,0.059371461415804086,-7.85674624072344,3.9968028886505635e-15,0.05992332603206838,-7.784389438517527,7.105427357601002e-15
BETA_EBIKEPSAFE,0.8444491337977148,0.056905205852486714,14.839576118690255,0.0,0.0965183598906819,8.749103639495639,0.0
BETA_EBIKETIME,-0.07669953488965361,0.012598526323476663,-6.087976714127924,1.1434648783392731e-09,0.021307385306454537,-3.5996690249187644,0.00031862247029534885
BETA_ESCOOTCOST,-0.5596584410300682,0.07741633873076785,-7.229203165709013,4.858335955759685e-13,0.07396836147293297,-7.5661868113012405,3.8413716652030416e-14
BETA_ESCOOTIME,-0.07846412968871687,0.011034964093933449,-7.110501585759857,1.156186257844638e-12,0.016553006106875406,-4.740174031357739,2.1353472945406793e-06
BETA_ESCOOTPSAFE,0.7628832226601492,0.06293555802193575,12.12165660617884,0.0,0.10380543564162976,7.349164501306762,1.9939605522267811e-13
BETA_WALKPSAFE,0.44030538415135767,0.06251739799419487,7.042925621956352,1.8824941605544154e-12,0.06847740713942037,6.429936566594783,1.2765721812968422e-10
BETA_WALKTIME,-0.056684809955373214,0.0038781911981770802,-14.616301017344776,0.0,0.008859965241455384,-6.397859180095595,1.5757040117136967e-10
SIGMA_ASC_EBIKE,-1.264431190024959,0.20833602848026597,-6.069191196782023,1.2855603248596026e-09,0.4424927753939187,-2.857518269986056,0.004269680536086895
SIGMA_ASC_ESCOOT,-1.3207398148581855,0.25900374582925323,-5.099307774988227,3.408978654917405e-07,0.6789903943980867,-1.9451524288926039,0.05175663534470343
SIGMA_ASC_WALK,-1.487224204417686,0.24777556152572675,-6.002303840055131,1.945372085643271e-09,0.5362688094487574,-2.773281194456259,0.0055494145455854405
SIGMA_CARPSAFE,0.20550373451685852,0.09698492612079296,2.1189244837997543,0.034096849421694886,0.2314915607681559,0.8877374787872946,0.3746819806505166
SIGMA_EBIKEPSAFE,0.2280757462777586,0.07142972308790319,3.1930089662686068,0.0014079857458895173,0.17252606572356158,1.3219784808818642,0.18617531673760834
SIGMA_ESCOOTPSAFE,0.07322968869344144,0.0820687459044631,0.89229691384207,0.3722338080062353,0.21103819122031772,0.34699732910898473,0.7285933253211709
SIGMA_WALKPSAFE,0.17265995073283028,0.08573795830605033,2.013809917382253,0.04402949410047419,0.21456339538981392,0.8047036654092167,0.42099070390726
