"","car","ebike","escoot","walk"
"kappa.1",1.31538335764874,1.42252105860888,1.48363093486373,1.36338178367892
"kappa.2",2.16081594628393,2.36220666564522,2.25116304340574,2.19196002337487
"kappa.3",3.43825148390951,3.50948124489294,3.20737636974821,3.32731144429651
"kappa.4",4.61741190425114,4.53083430090672,4.15683013042786,4.25597382493253
"kappa.5",5.88081708516687,5.88384836917832,5.29699086121018,5.58887355206221
"constant",4.3104226453447,4.56843181875115,3.45234480803995,4.90128468406419
"type1",-0.510443699168895,-3.67186655023586,-3.0720035810053,-1.62093949197468
"type2",-0.450023396715932,-3.16137361853757,-2.38768747919052,-0.547580499188804
"type4",-0.557199807015275,-2.56705067164065,-1.8995168258131,-0.23177409465643
"cross1",-0.499980242123907,-0.216642262491021,-0.29072683387165,-1.09797390712917
"cross2",0.0449699335419403,0.016730157340474,0.0175520911864388,0.0289230442643146
"pav",1.00571200667779,0.561974525026011,0.66299465153352,0.18326848451253
"obst",0.178357974412413,0.290930227640003,0.361525156239624,0.73143892054256
