pid,scenario,choice,cartime,carcost,acttime,ebikecost,escootcost,gender,age,education,employment,income,car_own,moto_own,cycle_own,escoot_own,bike_frequency,escooter_frequency,PT_frequency,metro_frequency,young,carpsafe,ebikepsafe,escootpsafe,walkpsafe,intchoice,binchoice1,binchoice2,binchoice3,binchoice4
101,scenario34,escoot,40,5,5,4.5,0.5,0,1,3,3,2,1,1,1,0,0,0,2,2,1,7,4,4,2,2,0,0,1,0
101,scenario31,car,40,6.5,25,3,3.5,0,1,3,3,2,1,1,1,0,0,0,2,2,1,7,6,6,6,4,1,0,0,0
101,scenario13,car,20,5,25,4.5,3.5,0,1,3,3,2,1,1,1,0,0,0,2,2,1,7,7,7,7,4,1,0,0,0
101,scenario28,car,5,3.5,25,3,2,0,1,3,3,2,1,1,1,0,0,0,2,2,1,7,6,6,7,4,1,0,0,0
101,scenario22,escoot,20,3.5,5,4.5,2,0,1,3,3,2,1,1,1,0,0,0,2,2,1,5,5,5,3,2,0,0,1,0
101,scenario01,ebike,40,3.5,25,1.5,0.5,0,1,3,3,2,1,1,1,0,0,0,2,2,1,5,4,4,3,3,0,1,0,0
101,scenario25,car,20,6.5,15,3,2,0,1,3,3,2,1,1,1,0,0,0,2,2,1,6,5,5,7,4,1,0,0,0
101,scenario16,ebike,40,3.5,15,1.5,3.5,0,1,3,3,2,1,1,1,0,0,0,2,2,1,7,7,7,6,3,0,1,0,0
101,scenario10,ebike,20,6.5,5,1.5,3.5,0,1,3,3,2,1,1,1,0,0,0,2,2,1,7,7,7,5,3,0,1,0,0
101,scenario07,car,5,5,15,1.5,2,0,1,3,3,2,1,1,1,0,0,0,2,2,1,6,5,5,3,4,1,0,0,0
101,scenario19,escoot,5,6.5,15,4.5,0.5,0,1,3,3,2,1,1,1,0,0,0,2,2,1,6,5,5,3,2,0,0,1,0
101,scenario04,ebike,5,5,5,3,0.5,0,1,3,3,2,1,1,1,0,0,0,2,2,1,7,4,5,4,3,0,1,0,0
