id,x,y,z,coords
2000,476220.639,4204443.971,0.0,"[[476220.6394762957, 4204443.971025672]]"
1000,477943.198,4203013.189,0.0,"[[477943.1975676509, 4203013.188771624]]"
7000,475755.959,4201530.535,0.0,"[[475755.9594391045, 4201530.53525761]]"
9000,477631.97,4201980.086,0.0,"[[477631.9700078575, 4201980.086177312]]"
3000,475436.087,4203916.613,0.0,"[[475436.08666931704, 4203916.613216026]]"
4000,473988.014,4203709.128,0.0,"[[473988.0139952794, 4203709.128176163]]"
5000,473179.687,4202870.543,0.0,"[[473179.6868608166, 4202870.54280672]]"
6000,474009.627,4202490.154,0.0,"[[474009.62702026503, 4202490.153566973]]"
8,475615.475,4203601.063,0.0,"[[475615.47477669775, 4203601.063051238]]"
9,474962.761,4203244.448,0.0,"[[474962.7614221315, 4203244.448138973]]"
10,474683.953,4203036.963,0.0,"[[474683.9533998169, 4203036.963099111]]"
11,474160.918,4202630.638,0.0,"[[474160.91819516435, 4202630.638229383]]"
12,476981.418,4202202.7,0.0,"[[476981.41795579, 4202202.700334665]]"
13,476296.285,4202183.249,0.0,"[[476296.28506374534, 4202183.2486121785]]"
14,477061.386,4202855.414,0.0,"[[477061.38614823675, 4202855.4136892315]]"
17,475802.925,4202976.54,0.0,"[[475802.9249670122, 4202976.540389979]]"
18,476088.8,4203780.451,0.0,"[[476088.8000238831, 4203780.451158618]]"
19,477144.939,4202314.214,0.0,"[[477144.9386282865, 4202314.213660666]]"
20,475106.581,4203312.924,0.0,"[[475106.58106400236, 4203312.923739028]]"
21,475202.759,4203366.956,0.0,"[[475202.7590251884, 4203366.956301492]]"
22,475270.84,4203406.4,0.0,"[[475270.8400538932, 4203406.40007209]]"
23,475325.953,4203437.739,0.0,"[[475325.95326760656, 4203437.73895832]]"
24,475419.97,4203489.61,0.0,"[[475419.96992629406, 4203489.610218286]]"
25,475482.107,4203524.191,0.0,"[[475482.1073731278, 4203524.191058262]]"
26,475526.414,4203549.586,0.0,"[[475526.41407434834, 4203549.586362621]]"
27,475670.681,4203628.474,0.0,"[[475670.68101612746, 4203628.473903818]]"
28,475770.641,4203685.208,0.0,"[[475770.64125668595, 4203685.208094406]]"
29,475844.126,4203726.273,0.0,"[[475844.1255416371, 4203726.272841878]]"
30,475912.071,4203760.719,0.0,"[[475912.071488936, 4203760.718600451]]"
31,476014.193,4203743.293,0.0,"[[476014.19303199375, 4203743.293099059]]"
32,476060.661,4203668.728,0.0,"[[476060.6610357133, 4203668.728162858]]"
33,476215.194,4203443.953,0.0,"[[476215.19416436186, 4203443.952703006]]"
34,476276.791,4203348.855,0.0,"[[476276.79128557147, 4203348.855393068]]"
35,476085.516,4203634.147,0.0,"[[476085.51601444697, 4203634.147322882]]"
36,476179.533,4203701.148,0.0,"[[476179.5326731353, 4203701.147700338]]"
37,476254.098,4203590.921,0.0,"[[476254.0976093364, 4203590.92127291]]"
38,476312.453,4203509.872,0.0,"[[476312.45277679805, 4203509.8724292135]]"
39,476375.131,4203199.726,0.0,"[[476375.1305492569, 4203199.725520666]]"
40,476475.631,4203271.049,0.0,"[[476475.631115441, 4203271.0485031195]]"
41,476465.905,4203061.402,0.0,"[[476465.90525419737, 4203061.402160757]]"
42,476566.406,4203130.564,0.0,"[[476566.4058203814, 4203130.5638407115]]"
43,476420.518,4203126.241,0.0,"[[476420.5179017271, 4203126.241235715]]"
44,476521.018,4203199.726,0.0,"[[476521.01846791117, 4203199.725520668]]"
45,476528.583,4202972.789,0.0,"[[476528.5830266562, 4202972.788758316]]"
46,476630.164,4203038.708,0.0,"[[476630.16424408957, 4203038.708484523]]"
47,476523.18,4202923.079,0.0,"[[476523.1797704097, 4202923.078800849]]"
48,476646.374,4202905.788,0.0,"[[476646.3740128289, 4202905.78838086]]"
