"","car","ebike","escoot","walk"
"kappa.1",1.31518428229013,1.42948481973181,1.48598593139245,1.36016921336217
"kappa.2",2.16003160294994,2.3764782076109,2.25483061730198,2.18654067966408
"kappa.3",3.43893500649055,3.532132277831,3.21238304381543,3.3193843875241
"kappa.4",4.62219539726216,4.55726048870017,4.16191417061953,4.24864728323944
"kappa.5",5.88819481815639,5.91068969576129,5.30066572389826,5.58529625654833
"constant",4.57548082455537,4.95171398308165,3.62950593397023,4.79873896352305
"type1",-0.514011827425661,-3.69484733127788,-3.07848942175701,-1.6164220161761
"type2",-0.451243325995706,-3.17311958256553,-2.38897677723494,-0.547858225659357
"type4",-0.558076140331123,-2.57287872118617,-1.90278457245643,-0.231316496880082
"cross1",-0.498337256999464,-0.216292780854417,-0.292884914759007,-1.09555845403597
"cross2",0.0469500462777251,0.0142796587597332,0.0155853692565423,0.0310820841024554
"pav",1.00327636241514,0.555436679922824,0.658997264820427,0.182832286680236
"obst",0.175984954867323,0.293006965139303,0.361556815619824,0.73854305641695
"veh",-0.00213292554025626,-0.00364646398366096,-0.00161827017193518,1.6287739531683e-05
"bike",-0.00118116671641929,0.000466895153726398,-0.000158498020198726,0.00208654494577198
"ped",-0.00467119509274271,-0.0106333767009434,-0.00418460383522385,-0.000850122521982445
